n,our_time,sdpa_time,mosek_time,our_mem,sdpa_mem,mosek_mem,our_res,sdpa_res,mosek_res
10.0,0.000252313,0.008419628,0.009733489,37824.0,750720.0,590656.0,0.0,0.0,0.0
10.0,0.000237936,0.009115417,0.065460874,36384.0,750720.0,597184.0,0.0,0.0,0.0
10.0,0.000261586,0.009441809,0.018725442,37824.0,750720.0,589552.0,0.0,0.0,2.0
30.0,0.00104868,0.148745227,0.164421958,142544.0,4.983424e6,3.881152e6,0.0,0.0,0.0
30.0,0.001062254,0.152598898,0.257761106,143152.0,4.98328e6,3.881152e6,0.0,0.0,2.0
30.0,0.001056822,0.166822699,0.175345826,139504.0,4.98328e6,3.881152e6,0.0,0.0,0.0
30.0,0.00103438,0.183781791,0.226915755,142544.0,4.98328e6,3.881152e6,0.0,0.0,0.0
30.0,0.00098839,0.196250877,0.173264834,140720.0,4.98328e6,3.881152e6,0.0,0.0,2.0
30.0,0.001009042,0.209169709,0.158386438,141328.0,4.98328e6,3.881152e6,0.0,0.0,0.0
30.0,0.000962368,0.187030307,0.170424772,141328.0,4.98328e6,3.881152e6,0.0,0.0,0.0
30.0,0.001185651,0.279502641,0.245942029,140112.0,4.983328e6,3.881152e6,0.0,2.0,0.0
30.0,0.000948278,0.184037375,0.133721503,142544.0,4.984432e6,3.881152e6,0.0,0.0,0.0
30.0,0.001035485,0.200852755,0.153105546,142544.0,4.98328e6,3.881152e6,0.0,0.0,0.0
30.0,0.000994968,0.146167843,0.227520614,141936.0,4.98328e6,3.881152e6,0.0,0.0,0.0
30.0,0.001000886,0.303599582,0.116053719,143152.0,4.983328e6,3.881152e6,0.0,2.0,0.0
30.0,0.001043857,0.274038085,0.159944362,142544.0,4.983328e6,3.881152e6,0.0,2.0,0.0
30.0,0.000984174,0.2346339,0.13132023,142544.0,4.98328e6,3.881152e6,0.0,0.0,0.0
30.0,0.000990543,0.172468098,0.167743105,141328.0,4.98328e6,3.881152e6,0.0,0.0,2.0
30.0,0.000981379,0.149882242,0.264638586,142544.0,4.98328e6,3.881152e6,0.0,0.0,2.0
30.0,0.000973279,0.293262615,0.238257285,143152.0,4.983328e6,3.88232e6,0.0,2.0,2.0
30.0,0.001032892,0.139623124,0.125839943,142544.0,4.98328e6,3.881152e6,0.0,0.0,0.0
30.0,0.001140973,0.21352766,0.144561691,140112.0,4.98328e6,3.881152e6,0.0,0.0,0.0
30.0,0.000966021,0.187807247,0.175351172,141328.0,4.98328e6,3.881152e6,0.0,0.0,0.0
30.0,0.001004618,0.193950338,0.24739624,138896.0,4.98328e6,3.881152e6,0.0,0.0,0.0
